epoch,event_id,date,day,year,doubleheader,pit_team_is_home,game_stat,pit_bat,pit_id,pit_id_y,pitcher,pit_first,pit_last,bat_id,bat_id_y,batter,bat_first,bat_last,bat_team_score,fld_team_score,fld_team_run_diff,pit_team_is_ahead,pit_team_is_behind,bases_state,risp,inning,half_inning,outs_ct,balls,strikes,num_pitches,pit_count,count_status,missing_balls_strikes,missing_pit_count,missing_pitch_type,velocity,missing_velocity,low_velocity,avg_velocity,high_velocity,rbi_on_play,win_prob_added,base_out_runs_added,leverage_index,win_team,pit_removed,bat_removed,pit_ejected,bat_ejected,any_ejection,ejections_ct,umpire,ejections_pl,ejection_des,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,pit_league_AL,pit_league_NL,pit_division_Central,pit_division_East,pit_division_West,pit_lg_div_AL - Central,pit_lg_div_AL - East,pit_lg_div_AL - West,pit_lg_div_NL - Central,pit_lg_div_NL - East,pit_lg_div_NL - West,bat_league_AL,bat_league_NL,bat_division_Central,bat_division_East,bat_division_West,bat_lg_div_AL - Central,bat_lg_div_AL - East,bat_lg_div_AL - West,bat_lg_div_NL - Central,bat_lg_div_NL - East,bat_lg_div_NL - West,game_type_Division,game_type_Interleague,game_type_Intraleague,pit_team_ANA,pit_team_ARI,pit_team_ATL,pit_team_BAL,pit_team_BOS,pit_team_CHA,pit_team_CHN,pit_team_CIN,pit_team_CLE,pit_team_COL,pit_team_DET,pit_team_HOU,pit_team_KCA,pit_team_LAN,pit_team_MIA,pit_team_MIL,pit_team_MIN,pit_team_NYA,pit_team_NYN,pit_team_OAK,pit_team_PHI,pit_team_PIT,pit_team_SDN,pit_team_SEA,pit_team_SFN,pit_team_SLN,pit_team_TBA,pit_team_TEX,pit_team_TOR,pit_team_WAS,throws_L,throws_R,bat_team_ANA,bat_team_ARI,bat_team_ATL,bat_team_BAL,bat_team_BOS,bat_team_CHA,bat_team_CHN,bat_team_CIN,bat_team_CLE,bat_team_COL,bat_team_DET,bat_team_HOU,bat_team_KCA,bat_team_LAN,bat_team_MIA,bat_team_MIL,bat_team_MIN,bat_team_NYA,bat_team_NYN,bat_team_OAK,bat_team_PHI,bat_team_PIT,bat_team_SDN,bat_team_SEA,bat_team_SFN,bat_team_SLN,bat_team_TBA,bat_team_TEX,bat_team_TOR,bat_team_WAS,bats_L,bats_R,position_1B,position_2B,position_3B,position_C,position_CF,position_DH,position_LF,position_P,position_PH_PR,position_RF,position_SS,position_group_DH_PH_PR,position_group_Infielder,position_group_Outfielder,position_group_Pitcher_Catcher,lineup_spot_1,lineup_spot_2,lineup_spot_3,lineup_spot_4,lineup_spot_5,lineup_spot_6,lineup_spot_7,lineup_spot_8,lineup_spot_9,fld_run_diff_Down by 1 run,fld_run_diff_Down by 2 to 3 runs,fld_run_diff_Down by 4 to 6 runs,fld_run_diff_Down by 7 or more runs,fld_run_diff_Tie score,fld_run_diff_Up by 1 run,fld_run_diff_Up by 2 to 3 runs,fld_run_diff_Up by 4 to 6 runs,fld_run_diff_Up by 7 or more runs,runners_on_1st,runners_on_1st_2nd,runners_on_1st_3rd,runners_on_2nd,runners_on_2nd_3rd,runners_on_3rd,runners_on_empty,runners_on_full,half_Bot,half_Top,inning_rec_1,inning_rec_2,inning_rec_3,inning_rec_4,inning_rec_5,inning_rec_6,inning_rec_7,inning_rec_8,inning_rec_9,inning_rec_10,the_count_0-0,the_count_0-1,the_count_0-2,the_count_1-0,the_count_1-1,the_count_1-2,the_count_2-0,the_count_2-1,the_count_2-2,the_count_3-0,the_count_3-1,the_count_3-2,the_count_Unknown,pitch_type_Changeup (CH),"pitch_type_Curveball (CU, CS)",pitch_type_Cutter (FC),pitch_type_Fastball (FA),pitch_type_Knuckleball (KN),pitch_type_Sinker (SI),"pitch_type_Slider (SL, SB)",pitch_type_Splitter (FS),velocity_range_70-79 mph,velocity_range_80-89 mph,velocity_range_90-95 mph,velocity_range_96+ mph,velocity_range_Under 70 mph,velocity_range_Unknown,winning_team_Team batting,winning_team_Team pitching,winning_team_Tie,velocity_missing,kproto_new_8,seg0_prob,seg1_prob,seg2_prob,seg3_prob,seg4_prob,seg5_prob,seg6_prob,seg7_prob
3,42161,2008-03-25,25,2008,0,0,1,Daisuke Matsuzaka --> Jack Cust,39203,matsuda01,Daisuke Matsuzaka,Daisuke,Matsuzaka,822,custja01,Jack Cust,Jack,Cust,1,0,-1,0,1,1__,0,1,b1,1,2.0,2.0,5,5 (2-2),Even,0,0,1,,1,,,0,0,0.03,0.39,1.0,BOS,0,0,0,0,0,0,Rick Reed,,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,1,5,2.0678979e-07,1.8531737e-06,1.6389728e-07,1.8228246e-07,2.8673869e-08,0.9998202,0.00017739795,5.246121e-08
3,42162,2008-03-31,31,2008,0,1,1,Jeremy Guthrie --> Jason Bartlett,45312,guthrje01,Jeremy Guthrie,Jeremy,Guthrie,32500,bartlja01,Jason Bartlett,Jason,Bartlett,0,2,2,1,0,1__,0,3,t3,0,0.0,0.0,1,1 (0-0),Even,0,0,1,,1,,,0,0,0.06,0.62,1.62,TBA,0,0,0,0,0,0,Mike Reilly,,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,1,5,0.14888349,5.397192e-05,3.428901e-05,4.7431126e-06,2.1295018e-05,0.8508242,5.521251e-06,0.00017257678
3,42167,2008-03-31,31,2008,0,1,1,Justin Verlander --> Mark Grudzielanek,45613,verlaju01,Justin Verlander,Justin,Verlander,355,grudzma01,Mark Grudzielanek,Mark,Grudzielanek,0,1,1,1,0,___,0,4,t4,0,1.0,2.0,4,4 (1-2),Pitcher ahead,0,0,1,,1,,,0,0,0.05,0.39,1.13,KCA,0,0,0,0,0,0,Tim Welke,,,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,1,5,0.0025183691,1.1506748e-06,4.5213183e-06,1.0490131e-06,1.8719219e-06,0.9974668,2.2512174e-06,3.964961e-06
3,42170,2008-03-31,31,2008,0,1,1,Eric O'Flaherty --> Hank Blalock,46413,oflaher01,Eric O'Flaherty,Eric,O'Flaherty,1251,blaloha01,Hank Blalock,Hank,Blalock,1,5,4,1,0,___,0,8,t8,0,1.0,1.0,3,3 (1-1),Even,0,0,1,,1,,,0,0,0.02,0.39,0.5,SEA,0,0,0,0,0,0,Jim Joyce,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,1,5,0.00012530704,1.9481094e-07,1.946053e-06,4.687573e-07,2.8135632e-06,0.99986887,1.573306e-07,2.2382288e-07
3,42175,2008-04-02,2,2008,0,0,1,Javier Vazquez --> Franklin Gutierrez,427,vazquja01,Javier Vazquez,Javier,Vazquez,36436,gutiefr01,Franklin Gutierrez,Franklin,Gutierrez,0,0,0,0,0,___,0,2,b2,1,0.0,1.0,2,2 (0-1),Pitcher ahead,0,0,1,,1,,,0,0,0.03,0.27,0.67,CLE,0,0,0,0,0,0,Brian Gorman,,,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,1,5,2.6058171e-07,5.62072e-08,2.6496662e-07,2.560351e-07,1.9878867e-06,0.99999475,2.399091e-06,5.156436e-08
3,42188,2008-04-04,4,2008,0,1,1,Dustin Moseley --> Marlon Byrd,31571,moseldu01,Dustin Moseley,Dustin,Moseley,656,byrdma01,Marlon Byrd,Marlon,Byrd,1,0,-1,0,1,1_3,1,4,t4,1,2.0,2.0,5,5 (2-2),Even,0,0,1,,1,,,0,0,0.03,0.4,1.83,TEX,0,0,0,0,0,0,Derryl Cousins,,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,1,5,0.0015918079,9.8067736e-05,2.9890905e-06,1.0256359e-06,1.276685e-06,0.9973443,0.00095967227,9.145574e-07
3,42202,2008-04-05,5,2008,0,1,1,Andy Pettitte --> Carlos Pena,1600,pettian01,Andy Pettitte,Andy,Pettitte,1443,penaca01,Carlos Pena,Carlos,Pena,0,0,0,0,0,___,0,1,t1,2,0.0,0.0,1,1 (0-0),Even,0,0,1,,1,,,0,0,0.01,0.13,0.41,TBA,0,0,0,0,0,0,Dana DeMuth,,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,1,5,1.781218e-06,4.5732858e-07,1.3875349e-05,1.4759481e-06,0.018396093,0.98158306,2.0789269e-06,1.1307877e-06
3,42220,2008-04-07,7,2008,0,0,1,Andrew Miller --> Willie Harris,49617,millean01,Andrew Miller,Andrew,Miller,1536,harriwi02,Willie Harris,Willie,Harris,3,7,4,1,0,12_,1,4,b4,1,1.0,1.0,3,3 (1-1),Even,0,0,1,,1,,,0,0,0.06,0.66,1.81,MIA,0,0,0,0,0,0,Adrian Johnson,,,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,1,5,0.0007311,0.00030636735,1.2553001e-05,4.2301e-06,4.593175e-06,0.76731783,0.000101540405,0.23152179
3,42226,2008-04-08,8,2008,0,0,3,Hong-Chih Kuo --> Conor Jackson,38196,kuoho01,Hong-Chih Kuo,Hong-Chih,Kuo,45433,jacksco01,Conor Jackson,Conor,Jackson,5,0,-5,0,1,__3,1,4,b4,1,0.0,2.0,3,3 (0-2),Pitcher ahead,0,0,1,,1,,,0,0,0.0,0.25,0.31,ARI,0,0,0,0,0,0,Ron Kulpa,,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,1,5,7.896001e-07,8.26992e-07,3.94403e-06,0.22814222,2.9922303e-06,0.77161443,0.00023424727,5.227994e-07
3,42229,2008-04-08,8,2008,0,0,1,Phil Hughes --> Joey Gathright,47865,hugheph01,Phil Hughes,Phil,Hughes,35917,gathrjo01,Joey Gathright,Joey,Gathright,2,2,0,0,0,_2_,1,2,b2,2,1.0,2.0,5,5 (1-2),Pitcher ahead,0,0,1,,1,,,0,0,0.01,0.12,1.2,KCA,0,0,0,0,0,0,Mark Wegner,,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,1,5,5.0303834e-07,1.3289733e-06,1.2238104e-06,2.9850656e-07,5.872606e-07,0.99828416,0.0017116033,3.1061538e-07
