TEAM,YEAR,LEAGUE,DIVISION,PIT_TEAM,PIT_LEAGUE,PIT_DIVISION,PIT_LG_DIV,BAT_TEAM,BAT_LEAGUE,BAT_DIVISION,BAT_LG_DIV
ANA,1969,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1970,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1971,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1972,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1973,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1974,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1975,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1976,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1977,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1978,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1979,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1980,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1981,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1982,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1983,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1984,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1985,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1986,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1987,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1988,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1989,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1990,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1991,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1992,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1993,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1994,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1995,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1996,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1997,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1998,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,1999,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
ANA,2000,AL,West,ANA,AL,West,AL - West,ANA,AL,West,AL - West
